prize,country,year,session,author,author_country,book_title,publisher,notes
Akutagawa,Japan,2021,H2,Bunji Sunakawa,Japan,Black Box (ブラックボックス),Gunzō,
Akutagawa,Japan,2022,H1,Junko Takase,Japan,"May You Have Delicious Meals (おいしいごはんが食べられますように, Oishii Gohan ga Taberaremasuyōni)",Gunzō,
Akutagawa,Japan,2022,H2,Iko Idogawa,Japan,Kono Yo no Yorokobi yo (この世の喜びよ),Gunzō,
Akutagawa,Japan,2022,H2,Atsushi Satō,Japan,Arechi no Kazoku (荒地の家族),Shinchō,
Akutagawa,Japan,2023,H1,Saou Ichikawa,Japan,"Hunchback (ハンチバック, Hunchback)",Bungei,
Akutagawa,Japan,2023,H2,Rie Kudan,Japan,"Sympathy Tokyo Tower (東京都同情塔, Tokyō-to Dōjō-tō)",Shinchō,
Akutagawa,Japan,2024,H1,Aki Asahina,Japan,Sanshōuo no Shijūkunichi (サンショウウオの四十九日),Shinchō,
Akutagawa,Japan,2024,H1,Sanzō K. Matsunaga,Japan,Bari Sankō (バリ山行),Gunzō,
Akutagawa,Japan,2024,H2,Jose Ando,Japan,Dtopia,Bungei,
Akutagawa,Japan,2024,H2,Yuui Suzuki,Japan,Goethe wa Subete o Itta (ゲーテはすべてを言った),Shōsetsu Tripper,
Akutagawa,Japan,2025,H1,,Japan,,,No prize awarded
Akutagawa,Japan,2025,H2,Makoto Toriyama,Japan,Toki no Ie (時の家),Kodansha,
Akutagawa,Japan,2025,H2,Ushio Hatakeyama,Japan,Sakebi (叫び),Shinchō,
